n,scatophagy,-0.75;
v,decimalize,0.0;
n,animalia,-0.125;
n,sarcosome,0.0;
n,polypodium,0.0;
n,cygnet,0.0;
n,pozsony,0.0;
n,hawkshaw,0.1;
a,propagandist,0.25;
n,poon,0.0;
n,hub,0.0;
v,swaddle,0.0;
a,rummy,-0.25;
a,aponeurotic,0.0;
n,shipping,0.0;
n,portrayal,0.0;
v,pettifog,-0.125;
n,vanellus,0.0;
a,open-plan,0.0;
r,caudal,0.0;
n,nazareth,0.0;
v,deflower,0.0;
a,billowing,-0.5;
n,intercalation,0.0;
n,verity,0.625;
v,finish,0.0;
n,flemish,0.0;
n,apartheid,0.0;
n,epirus,0.0;
a,tricuspid,0.125;
n,wnw,0.0;
n,earthwork,0.0;
v,petrify,-0.125;
n,skydiver,0.0;
n,igloo,0.0;
n,bullyboy,-0.125;
n,paperboy,0.0;
n,deoxyadenosine,0.0;
a,threaded,0.0;
a,feeble,-1.125;
n,impost,-0.125;
v,backstop,0.0;
n,bpm,0.0;
n,plenty,-0.375;
a,xcii,0.0;
n,cellar,0.0;
n,infestation,0.0;
a,gratuitous,-0.375;
a,biaxal,0.0;
v,finger-paint,0.0;
n,eleventh,0.0;
n,ismailian,0.0;
n,smogginess,0.0;
a,tongue-shaped,0.0;
n,neoceratodus,0.0;
v,grope,0.0;
n,welty,0.0;
n,duct,0.0;
n,aptitude,0.125;
a,even-pinnate,0.25;
n,orasone,0.0;
r,damned,0.25;
a,unmalicious,-0.556;
r,salaciously,0.375;
n,joule,0.0;
v,elongate,0.0;
a,mini,0.0;
a,yellowish-grey,0.0;
n,regalecidae,0.0;
v,stamp,-0.625;
n,scomberomorus,0.0;
n,gustation,0.375;
n,nasua,0.0;
v,preexist,0.0;
a,well-qualified,0.625;
n,naumachy,0.0;
n,auriparus,0.0;
n,birdfeeder,0.0;
v,swing,0.875;
v,machicolate,0.0;
n,crucifer,-0.125;
n,goatsbeard,0.0;
n,amoy,0.0;
a,lentiginous,-0.125;
n,frigg,0.0;
v,insert,-0.25;
a,spirituous,0.375;
a,pound-foolish,-0.125;
n,qum,0.0;
n,emergency,-0.5;
n,sociality,0.0;
n,aniseikonia,0.125;
n,polyglot,0.0;
n,invader,0.0;
v,overpower,-0.25;
a,sewn,0.0;
n,cruelty,-1.625;
v,renovate,0.625;
n,randomness,-0.375;
a,cured,0.375;
n,barber,0.0;
v,murmur,0.0;
a,cytomegalic,-0.375;
v,reprieve,0.25;
a,transeunt,-0.375;
n,characteristic,0.375;
n,hydrochoeridae,0.0;
n,gerenuk,0.0;
n,curtness,0.25;
n,transvestite,0.0;
n,abutilon,0.0;
n,sherman,0.0;
n,impairer,0.125;
r,licitly,0.0;
n,gelatinousness,0.0;
a,aeriferous,0.0;
n,pasquinade,0.0;
a,right-eyed,0.375;
n,accelerando,0.0;
n,animist,0.0;
n,cartoon,0.0;
n,impureness,0.125;
n,goggles,-0.25;
r,high-mindedly,0.375;
v,obviate,0.0;
a,uncontaminating,-0.625;
n,a-team,0.0;
n,cremation,0.0;
n,hf,0.0;
a,toupeed,0.0;
n,sockeye,0.0;
n,philhellenist,0.0;
v,trick,-0.625;
v,respect,0.875;
r,tranquilly,0.0;
n,motorcar,0.0;
a,unparented,-0.5;
a,trial-and-error,0.125;
n,darkey,-0.125;
r,provisionally,0.0;
r,munificently,0.375;
a,headstrong,-0.5;
a,umbrellalike,0.125;
n,convertor,0.0;
n,collusion,0.0;
n,cerate,0.0;
r,unceremoniously,0.125;
n,paleo-indian,0.0;
r,small,0.0;
n,mung,0.0;
n,lamellibranch,0.0;
n,basis,0.25;
v,teargas,0.0;
n,abrocoma,0.0;
n,joppa,0.0;
a,cast-iron,0.0;
n,herat,0.0;
n,medium,0.25;
a,grasping,0.0;
n,maldivian,0.0;
n,towline,0.0;
n,exec,0.0;
n,ok,0.0;
n,imprinting,0.0;
n,solubility,0.25;
n,overbid,-0.125;
n,muskellunge,0.0;
n,thick,0.0;
n,alienation,-1.0;
n,alcides,0.0;
n,radiometer,0.0;
a,distaff,0.0;
n,film,0.0;
v,outrun,0.0;
n,braque,0.0;
n,pessimism,-0.75;
n,peripheral,0.0;
n,lyginopteris,0.0;
n,supervisor,0.0;
n,glyph,0.0;
a,fine-grained,0.0;
n,hydrangeaceae,0.0;
n,scylla,0.0;
a,veridical,0.375;
a,frowning,-0.125;
v,untwine,0.0;
n,plumb,0.0;
a,nautical,0.0;
n,de-escalation,0.0;
n,tensity,-0.25;
n,battleground,0.0;
n,basketball,0.0;
n,knob,0.0;
a,bellied,-0.375;
n,nullity,0.25;
n,lath,0.0;
a,unrequited,-0.625;
n,athanor,0.0;
n,hematocoele,0.0;
n,urocyon,0.0;
a,extropic,0.0;
a,larger,0.125;
n,yellowlegs,0.0;
v,shoot,-1.0;
n,tunic,-0.125;
n,winding,0.0;
n,freelancer,-0.25;
a,self-loading,0.375;
a,accessional,0.125;
a,chauvinistic,0.375;
n,newfoundland,0.125;
a,equine,0.125;
n,stalagmite,0.0;
n,zombie,0.0;
a,appendant,0.0;
n,novice,0.0;
a,duck-billed,-0.125;
n,adherence,0.0;
n,.22,0.125;
n,underwing,0.125;
n,quahog,0.0;
v,appertain,0.0;
a,invincible,-0.5;
n,perforation,0.0;
n,pediculicide,0.0;
a,lilac-blue,0.0;
n,night-light,0.0;
n,idealist,0.125;
n,water-shield,0.0;
n,drey,0.0;
a,bicornate,0.0;
a,bobtailed,0.0;
a,shady,-0.5;
n,isoclinal,0.0;
n,pumpkinseed,0.0;
v,wrick,0.0;
n,saltwort,0.0;
r,divertingly,0.75;
n,millihenry,0.0;
n,correctness,1.125;
r,oppositely,0.0;
n,nevadan,0.0;
n,surfboarding,0.0;
n,size,-0.25;
a,sagittal,0.0;
n,ricochet,0.0;
v,grandstand,0.0;
a,sleepless,-0.875;
n,secessionist,0.0;
n,overmantel,0.0;
n,bombsight,0.0;
a,logographic,0.0;
n,kroon,0.0;
n,facer,-0.25;
v,mud-wrestle,-0.125;
n,proserpine,0.0;
a,companionate,0.0;
v,reinterpret,0.0;
v,mismarry,-0.25;
r,pusillanimously,-0.25;
a,newtonian,0.0;
n,manioca,0.0;
n,picidae,0.0;
n,doze,0.0;
n,inversion,0.0;
a,impelling,0.0;
n,100000,0.0;
n,ace,-0.375;
n,gerridae,0.0;
a,annunciatory,0.0;
a,satyrical,0.0;
n,hug-me-tight,0.0;
a,two-footed,0.0;
n,bootblack,0.0;
v,curvet,0.0;
n,ploughing,0.0;
n,forewarning,0.0;
n,ft,0.0;
n,kapok,0.0;
n,parasitism,-0.5;
n,phylloxera,0.0;
n,gynecologist,0.0;
a,damning,-0.25;
n,profiling,0.0;
n,squanderer,0.25;
n,obiism,0.0;
n,ellipsoid,0.0;
n,derain,0.0;
n,pattern,0.625;
n,eriophyllum,0.0;
n,electrotherapist,0.375;
a,punishable,-0.625;
r,exuberantly,0.625;
n,rainbow,-0.375;
a,protruding,0.0;
n,xmas,0.0;
r,pictorially,0.375;
n,tetrasaccharide,0.25;
v,overcharge,0.0;
n,mapping,0.0;
n,heterogeneousness,-0.5;
n,genetta,0.5;
v,brace,-0.125;
n,perpetuity,0.0;
a,piercing,-0.25;
n,cefuroxime,0.0;
n,banditry,0.0;
v,gauge,0.125;
n,mcguffey,0.0;
n,rosin,0.0;
n,tail,-0.125;
v,discerp,0.0;
a,rank-smelling,0.0;
v,donate,0.625;
n,dwarf,-0.125;
n,conyza,0.0;
n,waterpower,0.0;
n,serve,0.0;
n,lewiston,0.0;
n,division,0.125;
a,homophile,0.25;
v,labialize,0.0;
a,spic,0.5;
a,lithuanian,0.0;
n,tractarianism,0.0;
n,host,-0.25;
a,well-branched,0.0;
n,allotropy,0.0;
n,provirus,-0.375;
n,ganapati,0.125;
n,dactylopius,-0.125;
a,messianic,0.125;
n,goofball,0.0;
a,shuttered,-0.125;
n,malformation,-0.375;
n,cancun,0.0;
n,congeries,0.0;
n,mortarboard,0.0;
a,ratty,-0.625;
v,disbud,0.25;
r,lividly,0.25;
v,interact,0.0;
n,knuckle,0.0;
n,shootout,0.0;
a,disobedient,-1.25;
n,cattalo,0.0;
n,belem,0.0;
n,pepys,0.0;
n,aftersensation,0.0;
n,peptone,0.0;
n,myxocephalus,0.0;
a,seventy-two,0.0;
a,unforgiving,-1.5;
a,gluttonous,0.0;
n,verbalizer,0.0;
n,buttonhook,0.125;
a,thoreauvian,0.0;
n,pugilism,0.0;
v,featherbed,-0.125;
n,berretta,0.0;
r,hygienically,0.25;
n,cotter,0.0;
a,planetary,-0.625;
n,latch,0.0;
a,baffling,-0.5;
a,dandyish,0.375;
n,histology,0.0;
a,bullocky,0.25;
n,septuagenarian,0.25;
n,weighing,0.5;
v,vomit,0.0;
n,styptic,0.0;
a,winsome,0.625;
v,limber,0.0;
n,coroner,-0.25;
n,incisura,0.0;
n,aegis,-0.375;
n,prothalamium,0.0;
n,actiniopteris,0.0;
n,nabumetone,-0.25;
a,malapropos,-0.5;
r,rigidly,0.125;
a,chukker-brown,0.0;
n,bowfin,0.0;
a,inspiring,0.5;
n,dealings,0.0;
v,mythologize,0.0;
a,phocine,0.0;
n,decomposition,0.125;
n,tendency,0.875;
n,gothenburg,0.0;
n,clytemnestra,0.0;
a,cubist,0.0;
n,franco,0.0;
n,orangutang,0.0;
n,cannulization,0.0;
n,chilomycterus,0.0;
a,acronymic,0.25;
a,deepening,-0.25;
a,tasselled,-0.125;
v,nourish,0.0;
a,leafless,0.0;
a,proustian,0.0;
a,alabaster,0.0;
n,mendelism,0.125;
a,bally,-0.125;
n,hugging,-0.25;
n,psf,0.0;
v,totalise,0.0;
n,rangeland,0.625;
a,employed,0.0;
a,regulatory,0.0;
a,air-cooled,0.0;
n,organs,0.0;
n,rhinolophidae,0.125;
n,malamute,0.0;
n,nonachiever,-0.625;
n,solarization,0.0;
a,ravishing,0.75;
a,severable,0.5;
n,erroneousness,-0.375;
v,impregnate,0.375;
a,globose,0.125;
n,dangaleat,0.0;
a,splayfooted,0.0;
n,schnauzer,0.0;
a,bolivian,0.0;
n,hurrying,0.0;
n,aerobatics,0.0;
v,heterodyne,0.0;
a,anthropophagous,0.0;
n,patras,0.0;
n,abort,0.0;
